year,area,variable,generation_TWh,share_of_production_percent,change_on_last_year_percent,change_on_last_year_TWh
2000,Germany,Renewables,37.8399999999999,6.61607860964436,,
2000,Germany,Hydro,24.9,4.35360352484526,,
2000,Germany,Wind and solar,9.54,1.66800713361541,,
2000,Germany,Wind,9.5,1.66101339301325,,
2000,Germany,Solar,0.04,0.00699374060216106,,
2000,Germany,Bioenergy,3.4,0.59446795118369,,
2000,Germany,Other renewables,0.0,0.0,,
2000,Germany,Production,571.94,,,
2000,Germany,Net imports,3.1,,,
2000,Germany,Demand,575.04,,,
2000,Greece,Fossil,49.281,92.2433317735142,,
2000,Greece,Coal,34.313,64.2264857276556,,
2000,Greece,Hard Coal,0.014,0.0262049602246139,,
2000,Greece,Lignite,34.299,64.2002807674309,,
2000,Greece,Gas,5.92,11.0809546092653,,
2000,Greece,Other fossil,9.048,16.9358914365933,,
2000,Greece,Nuclear,0.0,0.0,,
2000,Greece,Renewables,4.14399999999999,7.75666822648572,,
2000,Greece,Hydro,3.69299999999999,6.91249415067852,,
2000,Greece,Wind and solar,0.451,0.844174075807206,,
2000,Greece,Wind,0.451,0.844174075807206,,
2000,Greece,Solar,0.0,0.0,,
2000,Greece,Bioenergy,0.0,0.0,,
2000,Greece,Other renewables,0.0,0.0,,
2000,Greece,Production,53.425,,,
2000,Greece,Net imports,-0.0109999999999998,,,
2000,Greece,Demand,53.414,,,
2000,Hungary,Fossil,20.768,59.0154613802513,,
2000,Hungary,Coal,9.59,27.251457754074,,
2000,Hungary,Hard Coal,0.067,0.190390789314177,,
2000,Hungary,Lignite,9.523,27.0610669647599,,
2000,Hungary,Gas,6.602,18.7605968813761,,
2000,Hungary,Other fossil,4.576,13.0034067448011,,
2000,Hungary,Nuclear,14.18,40.2946476488811,,
2000,Hungary,Renewables,0.242778,0.689890970867424,,
2000,Hungary,Hydro,0.178,0.505814335789904,,
2000,Hungary,Wind and solar,0.0,0.0,,
2000,Hungary,Wind,0.0,0.0,,
2000,Hungary,Solar,0.0,0.0,,
2000,Hungary,Bioenergy,0.0647779999999999,0.184076635077519,,
2000,Hungary,Other renewables,0.0,0.0,,
2000,Hungary,Production,35.190778,,,
2000,Hungary,Net imports,3.43999999999999,,,
2000,Hungary,Demand,38.630778,,,
2000,Ireland,Fossil,22.488,94.9902847005153,,
2000,Ireland,Coal,6.817,28.7953028639013,,
2000,Ireland,Hard Coal,6.817,28.7953028639013,,
2000,Ireland,Lignite,0.0,0.0,,
2000,Ireland,Gas,9.263,39.1273126636816,,
2000,Ireland,Other fossil,6.408,27.0676691729323,,
2000,Ireland,Nuclear,0.0,0.0,,
2000,Ireland,Renewables,1.186,5.00971529948466,,
2000,Ireland,Hydro,0.847,3.57776463630987,,
2000,Ireland,Wind and solar,0.244,1.03066655402551,,
2000,Ireland,Wind,0.244,1.03066655402551,,
2000,Ireland,Solar,0.0,0.0,,
2000,Ireland,Bioenergy,0.095,0.401284109149277,,
2000,Ireland,Other renewables,0.0,0.0,,
2000,Ireland,Production,23.674,,,
2000,Ireland,Net imports,0.098,,,
2000,Ireland,Demand,23.772,,,
2000,Italy,Fossil,218.275882,81.0967081033286,,
2000,Italy,Coal,26.272,9.76091676170916,,
2000,Italy,Hard Coal,26.266,9.75868756330134,,
